"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_TIME_SECS","sec","s","s","s","sec","sec","sek","sn","秒","초","с.","ث","seg","秒","秒"
"NPC16_TAUNT_START","Welcome to the show!","Vous allez en prendre plein les yeux !","Willkommen bei der Show!","¡Que empiece el espectáculo!","Benvenuto allo show!","Welkom bij het spektakel!","Velkommen til showet!","Gösteriye hoş geldin!","ショーの始まりだ！","이제 시작해볼까?","Шоу начинается!","مرحبًا في العرض!","Bem-vindo ao show!","好戏开始喽！","好戲開鑼囉！"
"TID_ARENA_TOWER","Arena Towers","Tours d'arène","Arenatürme","Torres de la arena","Torri dell'arena","Arenatorens","Arenatårn","Arena Kuleleri","アリーナタワー","아레나 타워","Башни арены","أبراج الساحة","T. da Arena","护卫塔","護衛塔"
"TID_CHARACTER_BOMBER","Bomber","Bombardier","Bomber","Bombardero","Bombarolo","Bommengooier","Bomber","Bombacı","ボンバー","폭탄병","Подрывник","مفجر","Bombardeiro","炸弹兵","炸彈兵"
"TID_CHARACTER_MINIPEKKA","Mini P.E.K.K.A","Mini P.E.K.K.A","Mini-P.E.K.K.A.","Mini P.E.K.K.A.","Mini P.E.K.K.A","Mini-P.E.K.K.A.","Mini-P.E.K.K.A","Mini P.E.K.K.A","ミニP.E.K.K.A","미니 P.E.K.K.A","Мини П.Е.К.К.А.","بيكا صغير","Mini P.E.K.K.A","迷你皮卡","迷你皮卡"
"TID_CHEST_MAGICAL","Magical chest","Coffre magique","Magietruhe","Cofre mágico","Baule magico","Magische kist","Magisk kiste","Büyülü sandık","魔法の宝箱","마법 상자","Магический сундук","صندوق سحري","Baú mágico","神奇宝箱","神奇寶箱"
"TID_COME_BACK_NOTIFICATION_LARGE","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","竞技场在召唤您！","競技場在召喚您！"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","竞技场在召唤您！","競技場在召喚您！"
"TID_COME_BACK_NOTIFICATION_SMALL","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","竞技场在召唤您！","競技場在召喚您！"
"TID_HINT_CHEST_BASICS4","Magical Chests always contain at least one Epic Card.","Les coffres magiques contiennent au moins une carte épique.","Magietruhen enthalten immer mindestens eine epische Karte.","Los cofres mágicos siempre contienen una carta épica como mínimo.","I bauli magici contengono sempre almeno una carta epica.","Magische kisten bevatten altijd op zijn minst één epische kaart.","Magiske kister inneholder alltid minst ett episk kort.","Büyülü Sandıklar her zaman en az bir Destansı Kart içerir.","魔法の宝箱にはスーパーレアカードが\n最低1枚は入っています。","마법 상자에는 항상 영웅 카드가 최소 1장이 들어있습니다.","В магических сундуках есть минимум одна эпическая карта.","تحتوي الصناديق السحرية دائمًا على بطاقة ممتازة واحدة على الأقل.","Baús mágicos sempre contêm pelo menos uma carta épica.","神奇宝箱保证包含至少一张史诗卡牌。","神奇寶箱中最至少含有一張史詩級卡片。"
"TID_HINT_TAUNTS","Use taunts to show your opponent you´re a good sport. Or not.","Utilisez des railleries pour montrer à votre adversaire que vous êtes beau joueur. Ou pas.","Verspotte deinen Gegner, um zu zeigen, wie nett du bist ... oder auch nicht.","Envíales frases a tus rivales para demostrarles que tienes buen perder. O no.","Usa le provocazioni per mostrare all'avversario quanto sei simpatico. O no.","Daag je tegenstander uit om te laten zien dat jij een sportieve tegenstander bent. Of niet.","Hån motstanderen for å vise at du har god sportsånd. Eller mangler det.","Rakibine iyi bir oyuncu olduğunu göstermek için onunla alay et. Ya da etme.","スタンプを使えば、対戦相手に\n自分の潔さをアピールできます。\nしなくても問題はありませんが...","도발을 사용해 상대에게 당신의 인성을 보여주세요.","Насмехайся над врагом, чтобы показать, что ты — достойный противник! Или нет...","استخدم التهكمات لإظهار إن كنت تتمتع بروح رياضية أمام خصمك أم لا.","Use provocações para mostrar ao adversário que você tem espírito esportivo. Ou não.","善用嘲讽功能来展示您的风度。\n关注官方微信服务号cr-kefu和订阅号crsupercell","善用嘲諷功能來展現您的風度。"
"TID_HINT_WINNING_CONDITION2","Destroy the enemy King's tower to get an instant victory!","Détruisez la tour du roi ennemi pour remporter la victoire instantanément !","Zerstöre den feindlichen Königsturm, um sofort den Sieg davonzutragen!","Destruye la torre del rey rival para hacerte con la victoria al instante.","Distruggi la torre del re del nemico per ottenere una vittoria istantanea!","Vernietig de koningstoren van de vijand om onmiddellijk te winnen!","Ødelegg fiendens kongetårn for å ta seieren øyeblikkelig!","Anında zafer kazanmak için düşman Kral kulesini yok et!","敵のキングタワーを壊せば\nその時点であなたの勝利です！","킹스 타워를 부수면 바로 승리합니다!","Уничтожь вражескую башню короля, чтобы победить!","دمّر برج الملك لتحقيق النصر الفوري!","Destrua a torre do Rei inimigo para vencer instantaneamente.","摧毁敌军的国王塔即可立即获胜！","摧毀敵方的國王塔就能立刻獲得勝利！"
"TID_KINGS_TOWER","King's Tower","Tour du roi","Königsturm","Torre del rey","Torre del re","Koningstoren","Kongetårn","Kral Kulesi","キングタワー","킹스 타워","Башня короля","برج الملك","Torre do Rei","国王塔","國王塔"
"TID_SPELL_COLLECTION","Card Collection","Cartes possédées","Kartensammlung","Colección","Collezione carte","Kaartverzameling","Kortsamling","Kart Koleksiyonu","カードコレクション","카드 콜렉션","Коллекция карт","مجموعة بطاقات","Coleção de cartas","我的牌库","卡片收藏"
"TID_SPELL_LIGHTNING","Lightning","Foudre","Blitz","Rayo","Fulmine","Bliksem","Lyn","Yıldırım","ライトニング","번개 마법","Молния","برق","Relâmpago","雷电法术","雷電法術"
"TID_SPELL_MINIPEKKA","Mini P.E.K.K.A","Mini P.E.K.K.A","Mini-P.E.K.K.A.","Mini P.E.K.K.A.","Mini P.E.K.K.A","Mini-P.E.K.K.A.","Mini-P.E.K.K.A","Mini P.E.K.K.A","ミニP.E.K.K.A","미니 P.E.K.K.A","Мини П.Е.К.К.А.","بيكا صغير","Mini P.E.K.K.A","迷你皮卡","迷你皮卡"
"TID_SPELL_MIRROR","Mirror","Miroir","Spiegel","Espejo","Specchio","Spiegel","Speil","Ayna","鏡","반사경","Зеркало","مرآة","Espelho","镜像法术","鏡像法術"
"TID_SPELL_RAGE","Rage","Rage","Wut","Furia","Furia","Woede","Raseri","Öfke","レイジ","분노 마법","Ярость","الغضب","Fúria","狂暴法术","狂暴"
"TID_SPELL_SKELETON_HORDE","Skeleton Army","Armée de squelettes","Skelettarmee","Ejército de esqueletos","Orda di scheletri","Skeletleger","Skjelettarmé","İskelet Ordusu","スケルトン部隊","해골 군대","Армия скелетов","جيش هياكل عظمية","Exército de Esqueletos","骷髅军团","骷髏軍團"
"TID_SPELL_SPEAR_GOBLINS","Spear Goblins","Gobelins à lances","Speerkobolde","Duendes con lanza","Goblin lancieri","Speerkobolden","Spydnisser","Mızraklı Goblin","槍ゴブリン","창 고블린","Гоблины—копейщики","غيلان الرمح","Goblins Lanceiros","哥布林投矛手","哥布林投矛手"
"TID_SPELL_UPGRADE_EXP","Upgrade Gives","L'amélioration donne","Verbesserung gewährt","La mejora da","Miglioramento dà","Upgrade levert op","Oppgraderingen gir","Yükseltmenin Verdikleri:","アップグレード経験値","업그레이드 보상","Улучшение даст","منح الترقيات","A melhoria dá","升级可获得","升級可提供"
"TID_SPELL_ZAP","Zap","Électrocution","Knall","Descarga","Scarica","Zappen","Zap","Çarpma","ザップ","감전 마법","Разряд","منطلق","Choque","电击法术","電擊法術"
"TID_HINT_PEKKAS","The P.E.K.K.A and Mini P.E.K.K.A are easily distracted, but they hit like a truck.","Les P.E.K.K.A et les mini P.E.K.K.A se laissent facilement distraire, mais ce sont de vrais démolisseurs.","P.E.K.K.A und Mini-P.E.K.K.A lassen sich leicht ablenken, schlagen aber mit großer Wucht zu.","El P.E.K.K.A y el mini P.E.K.K.A se distraen con facilidad, pero golpean con la fuerza de un huracán.","P.E.K.K.A e mini P.E.K.K.A si distraggono facilmente, ma pestano come dei fabbri.","P.E.K.K.A. en mini-P.E.K.K.A. worden makkelijk afgeleid, maar hebben de kracht van een monstertruck.","P.E.K.K.A og Mini-P.E.K.K.A blir lett distrahert, men de slår godt fra seg.","P.E.K.K.A ve Mini P.E.K.K.A'nın dikkati kolay dağılır ancak bir kamyon gibi çarparlar.","P.E.K.K.AやミニP.E.K.K.Aはちょっと\n気が散りやすいのが難点ですが、\nダンプカーなみの破壊力を発揮します。","P.E.K.K.A.와 미니 P.E.K.K.A.는 적에게 쉽게 낚이지만, 트럭이 들이받는 것과 맞먹는 공격력을 자랑합니다.","П.Е.К.К.А и мини П.Е.К.К.А легко отвлекаются, но бьют как танки.","يسهل إلهاء بيكا وبيكا الصغيرة، لكنهما يصيبانك كالشاحنة.","A P.E.K.K.A e a Mini P.E.K.K.A são distraídas facilmente, mas têm o impacto de um caminhão.","皮卡超人和迷你皮卡很容易分心，但他们的攻击力非常高。","皮卡超人和迷你皮卡很容易分心，但是他們的攻擊威力驚人。"
"TID_CHEST_MAGICAL_NOTIFICATION","Magical chest unlocked!","Coffre magique débloqué !","Magietruhe freigeschaltet!","¡Cofre mágico desbloqueado!","Baule magico sbloccato!","Magische kist ontgrendeld!","Magisk kiste opplåst!","Büyülü sandığın kilidi açıldı!","魔法の宝箱がアンロックされました！","마법 상자 열림!","Открыт магический сундук!","تم فتح صندوق سحري!","Baú mágico aberto!","神奇宝箱已解锁！","已解鎖神奇寶箱！"
"TID_VIEW_PROFILE_BUTTON","View\nProfile","Voir\nle profil","Profil\nansehen","Ver\nperfil","Visualizza\nprofilo","Profiel\nbekijken","Vis\nprofil","Profili\nGörüntüle","プロフィール\nを表示","프로필\n보기","Просмотр\nпрофиля","عرض\nالملف الشخصي","Ver\nperfil","查看玩家简介","查看玩家簡介"
"TID_INFO_ARENA6","Builder's Workshop","Atelier d'ouvrier","Bauarbeiterwerkstatt","Taller de constructor","Officina del costruttore","Bouwerswerkplaats","Byggernes verksted","İnşaatçının Atölyesi","大工の作業場","장인의 작업실","Мастерская строителя","ورشة البنّاء","Oficina do Construtor","建筑工人工坊","建築工人工坊"
"TID_CHEST_SUPER","Super Magical Chest","Super coffre magique","Super-Magietruhe","Cofre supermágico","Baule super magico","Supermagische kist","Super magisk kiste","Süper Büyülü Sandık","スーパー魔法の宝箱","슈퍼 마법 상자","Супер-магический сундук","صندوق سحري خارق","Baú muito mágico","超级神奇宝箱","超級神奇寶箱"
"TID_CHEST_SUPER_NOTIFICATION","Super Magical chest unlocked!","Super coffre magique débloqué !","Super-Magietruhe freigeschaltet!","¡Cofre supermágico desbloqueado!","Baule super magico sbloccato!","Supermagische kist ontgrendeld!","Super magisk kiste låst opp!","Süper Büyülü sandığın kilidi açıldı!","スーパー魔法の宝箱がアンロックされました！","슈퍼 마법 상자 열림!","Супермагический сундук открыт!","تم فتح صندوق سحري خارق!","Baú muito mágico desbloqueado","超级神奇宝箱已解锁！","已解鎖超級神奇寶箱！"
"TID_SPELL_INFO_THREE_MUSKETEERS","Trio of powerful, independent markswomen, fighting for justice and honor. Disrespecting them would not be just a mistake, it would be a cardinal sin!","Trio de tireuses d'élites indépendantes et puissantes, qui luttent pour la justice et l'honneur. Leur manquer de respect ne serait pas une simple erreur, ce serait un péché capital !","Ein Trio dreier starker, unabhängiger Schützinnen, die für Gerechtigkeit und Ehre kämpfen. Wer sie nicht respektiert, begeht nicht nur einen Fehler, sondern eine Todsünde!","Este trío de tiradoras poderosas e independientes lucha por la justicia y el honor. Faltarles al respeto no solo sería un error, ¡también un pecado mortal!","Un trio di tiratrici scelte potenti e indipendenti che combattono per l'onore e la giustizia. Sarebbe un errore mancar loro di rispetto, sarebbe un peccato capitale!","Een trio van drie sterke, onafhankelijke vrouwelijke schutters, strijdend om gerechtigheid en eer. Ze respectloos behandelen is niet alleen dom, maar een doodzonde!","En trio av sterke, uavhengige skarpskyttere som kjemper for rettferdighet og ære. Du tabber deg ikke bare ut om du disser dem, du gjør deg skyldig i en dødssynd!","Güçlü ve özgür nişancı kadın üçlüsü adalet ve onur için savaşır. Onlara karşı saygısızlık etmek yalnızca bir hata değil, büyük bir günah olur!","正義と名誉のために戦う、誇り高い３人の銃士です。彼女らに無礼をはたらく者は、タダでは済まないでしょう。それはもはや裁くべき罪なのです！","세 명의 강력하고 독립적인 저격수들로 정의와 명예를 위해 싸웁니다. 이들을 무시하면 큰 코 다칩니다. 추기경의 권위에 대한 도전이 되니까요!","Трое сильных независимых стрелков, сражающихся за справедливость и честь. Неуважение к ним — это не просто ошибка, а смертный грех!","ثلاثي قوي، مقاتلات قويات مستقلات، يقاتلن من أجل العدل والشرف. عدم احترامهن لن يكون مجرد خطأ، بل بمثابة خطيئة كبرى!","Um trio de mulheres poderosas e independentes que luta por justiça e honra. Desrespeitá-las não seria somente um erro, como também um verdadeiro pecado.","三位强大、独立的女神枪手，为了正义与荣耀而战。对她们不敬可不仅仅是个小错，事儿大着呢。","三人一組，自立自強的霹靂嬌娃，她們為了正義和榮譽而戰。可千萬別失禮，如果惹到她們，只能說你自己找地雷踩！"
"TID_SPELL_INFO_LIGHTNING","Bolts of lightning hit up to three enemy troops or buildings with the most hitpoints in the target area. Reduced damage to Crown Towers.","La foudre s'abat sur les trois bâtiments ou combattants ennemis ayant le plus de points de vie dans la zone cible. Dégâts réduits sur les tours couronnées.","Blitze treffen bis zu drei gegnerische Einheiten oder Gebäude mit den meisten Trefferpunkten im Zielbereich. Reduzierter Schaden gegen Kronentürme.","Estos rayos pueden infligir daño a las tres unidades o estructuras enemigas con más puntos de vida en el área objetivo. Son menos efectivos contra las torres de coronas.","Dei fulmini colpiscono fino a 3 truppe nemiche o edifici con il maggior numero di punti ferita nell'area bersaglio. Danno ridotto alle torri della corona.","Bliksemschichten raken maximaal drie vijandelijke eenheden of gebouwen met het hoogste aantal levenspunten in het doelgebied. Kroontorens lopen minder schade op.","Lynnedslag treffer inntil tre av de fiendtlige troppene eller bygningene med flest treffpoeng i målområdet. Mindre skade på kronetårn.","Yıldırım okları, hedef alandaki en çok isabet puanına sahip üç düşman birliğini ya da binasını vurur. Taç Kulelerine daha az hasar verir.","最大3体までの敵ユニットまたは建物を雷撃します。攻撃対象は範囲内でヒットポイントが高い順に決まります。クラウンタワーに対してはダメージが減少します。","목표 지역에서 HP가 가장 높은 적이나 건물을 최대 셋까지 번개로 공격합니다. 크라운 타워에는 비교적 적은 피해를 줍니다.","Разряды молнии поражают до трех вражеских воинов или зданий, способных нанести наибольший урон. Повреждение королевской башни снижено.","صواعق من البرق تصيب حتى ثلاثة من قوات الأعداء أو المباني مع أكثر نقاط الإصابة في منطقة الهدف. ضرر منخفض لأبراج التاج.","Raios atingem até três tropas ou construções inimigas com o maior número de pontos de vida na área do alvo. Dano reduzido à Torre da Coroa.","发射雷电法术，最多可以命中目标区域中三个生命值最高的敌军或建筑。对皇家塔的伤害有所降低。","雷電法術最多可命中目的地區域內3個生命值最高的敵軍或建築。對皇家塔傷害有所降低。"
"TID_SPELL_INFO_ZAP","Zaps enemies, briefly stunning them and dealing damage inside a small radius. Reduced damage to Crown Towers.","Foudroie les ennemis, les étourdit brièvement et inflige des dégâts dans un faible rayon. Dégâts réduits sur les tours couronnées.","Trifft Feinde, lähmt und fügt in einem kleinen Umkreis Schaden zu. Reduzierter Schaden gegen Kronentürme.","La descarga inflige daño brevemente a los enemigos dentro de un radio de alcance reducido. Es menos efectiva contra las torres de coronas.","Fulmina i nemici, stordendoli e infliggendo danno entro un'area limitata. Danno ridotto alle torri della corona.","Zapt vijanden, verdooft ze korte tijd en veroorzaakt schade binnen een kleine straal. Kroontorens lopen minder schade op.","Zapper fiender slik at de svimeslås i en liten stund, og forårsaker skade innenfor en liten radius. Mindre skade på kronetårn.","Yıldırım, düşmanları kısa bir süre için sersemletip ufak bir alan içindekilere hasar verir. Taç Kulelerine daha az hasar verir.","小さな円の範囲内にいる敵をビリビリ攻撃し、ダメージを与えて気絶させます。ただしクラウンタワーに対してはダメージが減少します。","좁은 범위 내의 적들을 감전시키고 피해를 줍니다. 크라운 타워에는 비교적 적은 피해를 줍니다.","Бьет по врагам, ненадолго парализуя и нанося урон в небольшом радиусе. Повреждение королевской башни снижено.","يضرب الأعداء، يصعقهم لفترة قصيرة ويسبب الضرر في مدى صغير. ضرر مخفض لأبراج التاج.","Eletrocutam e atordoam os inimigos, causando dano em um raio pequeno. Dano reduzido à Torre da Coroa.","电击法术在小范围内造成伤害。对皇家塔伤害有所降低。","電擊法術可以瞬間擊倒敵人並在小範圍內造成傷害，但對皇家塔的傷害將會降低。"
"TID_HINT_CHEST_MAGICAL","Magical Chests have a higher chance of containing a Legendary Card.","Les coffres magiques ont plus de chances de contenir une carte légendaire.","Magietruhen gewähren eine höhere Chance auf eine Legendäre Karte.","Tienes una alta probabilidad de encontrar una carta legendaria en los cofres mágicos.","I bauli magici hanno più probabilità di contenere una carta leggendaria.","Magische kisten leveren een hogere kans op een legendarische kaart op.","Magiske kister har større sjanse for å inneholde et legendarisk kort.","Büyülü Sandıklarda Efsanevi Kart olma ihtimali daha yüksektir.","魔法の宝箱には、他の宝箱よりも高い確率で\nウルトラレアカードが入っています。","마법 상자는 전설 카드가 들어 있을 확률이 높습니다.","В магическом сундуке можно с большей вероятностью найти легендарную карту.","الصناديق السحرية لديها فرصة أكبر في الاحتواء على بطاقة أسطورية.","Baús Mágicos têm mais chance de conter cartas lendárias.","神奇宝箱掉落传奇卡牌的几率更高。","從神奇寶箱中獲得傳說卡片的機會更高。"
"TID_HINT_CHEST_SUPER_MAGICAL1","Super Magical Chests have the highest chance of containing a Legendary Card.","Les super coffres magiques ont les meilleures chances de contenir une carte légendaire.","Super-Magietruhen gewähren die höchste Chance auf eine Legendäre Karte.","Tienes la probabilidad más alta de encontrar una carta legendaria en los cofres supermágicos.","I bauli super magici hanno le probabilità più alte di contenere una carta leggendaria.","Supermagische kisten leveren de hoogste kans op een legendarische kaart op.","Supre magiske kister har størst sjanse for å inneholde et legendarisk kort.","Süper Büyülü Sandıklarda Efsanevi Kart olma ihtimali en yüksektir.","スーパー魔法の宝箱には、他のどの宝箱よりも\n高い確率でウルトラレアカードが入っています。","슈퍼 마법 상자는 전설 카드가 들어 있을 확률이 가장 높습니다.","В супермагическом сундуке самая большая вероятность найти легендарную карту.","الصناديق السحرية الخارقة لديها أكبر فرصة في الاحتواء على بطاقة أسطورية.","Baús Muito Mágicos têm o máximo de chance de conter cartas lendárias.","超级神奇宝箱掉落传奇卡牌的几率最高。","最有機會從超級神奇寶箱中獲得傳說卡片。"
"TID_HINT_CHEST_SUPER_MAGICAL2","Super Magical Chests can be won from battle, but they're incredibly rare!","Les combats peuvent rapporter des super coffres magiques, mais ils sont extrêmement rares !","Super-Magietruhen können im Kampf gewonnen werden - aber sie sind ungemein selten!","Los cofres supermágicos se pueden obtener en las batallas, ¡pero es dificilísimo encontrarlos!","Puoi vincere bauli super magici in battaglia, ma sono incredibilmente rari!","Je kunt supermagische kisten winnen in gevechten, maar ze zijn uitzonderlijk zeldzaam!","Du kan vinne supre magiske kister i kamp, men de er ekstremt sjeldne!","Süper Büyülü Sandıklar savaşlardan kazanılır ancak son derece enderdirler!","スーパー魔法の宝箱はバトルでも獲得できますが\n運のいい人でも滅多に手に入りません！","전투에서 슈퍼 마법 상자를 얻을 수는 있지만 확률이 매우 낮습니다!","Супермагический сундук можно выиграть в бою, но они очень редкие!","يمكن ربح الصناديق السحرية الخارقة من المعارك، لكنها نادرة للغاية!","Os Baús Muito Mágicos podem ser conseguidos em batalhas, mas são extremamente raros.","您可以从战斗中赢取超级神奇宝箱，但这种宝箱非常罕见！","你可以從戰鬥中獲得超級神奇寶箱，但是機會可說是微乎極微！"
"TID_ACHIEVEMENT_INFO_REACHARENA","Reach Arena <num>","Atteindre l'arène <num>","Erreiche Arena <num>.","Llega a la arena <num>.","Raggiungi l'arena <num>","Bereik arena <num>","Nå arena <num>","<num>. Arenaya eriş","アリーナ<num>に到達する","아레나 <num> 도달","Доберись до арены <num>","الوصول إلى الساحة <num>","Chegar à arena <num>.","到达竞技场<num>","進入<num>階競技場"
