"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_GOLD_TOOL_TIP","<cd1ab22>Gold</c> is used to upgrade cards and to buy cards.\n\nYou get gold from chests and by donating cards to your clanmates.\n\nGold maximum is 500000.","L'<cd1ab22>or</c> sert à améliorer les cartes et à en acheter.\n\nVous en obtenez dans les coffres ou en donnant des cartes aux membres de votre clan.\n\nVous pouvez posséder jusqu'à 500 000 pièces d'or.","Mit <cd1ab22>Gold</c> kannst du Karten verbessern und kaufen.\n\nDu bekommst Gold aus Truhen, oder indem du Karten an deine Clankameraden spendest.\n\nDas Goldmaximum ist 500.000.","El <cd1ab22>oro</c> sirve para comprar cofres y cartas, además de para mejorarlas.\n\nSe consigue en los cofres y al donar cartas a los aliados.\n\nLa cantidad máxima de oro que puedes tener es 500 000.","L'<cd1ab22>oro</c> viene usato per migliorare carte e acquistare carte.\n\nOttieni oro dai bauli e donando carte ai membri del clan.\n\nL'oro massimo è 500.000.","<cd1ab22>Goud</c> wordt gebruikt om kaarten te upgraden en kaarten te kopen.\n\nJe krijgt goud uit kisten en door kaarten te doneren aan je clangenoten.\n\nDe goudlimiet ligt op 500.000.","<cd1ab22>Gull</c> brukes til å oppgradere og kjøpe kort.\n\nGull får du fra kister og ved å donere kort til klanvennene dine.\n\nMaksimalt antall gull er 500 000.","<cd1ab22>Altın</c> kartları yükseltmek ya da kart veya sandık satın almak için kullanılır.\n\nKlan arkadaşlarına kart bağışlayarak ve sandıkları açarak altın kazanabilirsin.\n\nMaksimum Altın 500.000'dir.","<cd1ab22>ゴールド</c>は、カードのアップグレードや購入に必要となります。\n\nゴールドは宝箱を開けるかカードをクランメンバーに寄付すると入手できます。\n\n上限は、500000ゴールドです。","<cd1ab22>골드</c>는 카드를 업그레이드하거나 카드 또는 상자를 구매하는 데 사용됩니다.\n\n상자를 열거나 카드를 클랜원에게 지원하여 골드를 받을 수 있습니다.\n\n골드의 소지 한도는 500000입니다.","<cd1ab22>Золото</c> используют для покупки и улучшения карт.\n\nЕго можно получить, открывая сундуки и отдавая карты соклановцам.\n\nМаксимум: 500 000.","<cd1ab22>الذهب</c> يُستخدم في ترقية البطاقات وشرائها.\n\nستحصل على الذهب من الصناديق وبالتبرع بالبطاقات لزملائك في القبيلة.\n\nالحد الأقصى للذهب هو 500000.","<cd1ab22>Ouro</c> é usado para aprimorar e comprar cartas.\n\nVocê ganha ouro em baús e doando cartas aos colegas de clã.\n\nO máximo de ouro é 500.000.","<cd1ab22>金币</c>可以用来升级和购买卡牌。\n\n您可以通过宝箱或向部落成员捐赠卡牌来获得金币。\n\n金币最大数额为500000枚。","<cd1ab22>金幣</c>是用來升級卡片以及購買卡片或寶箱的媒介。\n\n你可以透過打開寶箱或用卡片增援部落夥伴來獲得金幣。\n\n金幣的最大上限為 500,000。"
"TID_NEWS_UPDATE_TEXT","LEGENDARY ARENA & SEASONS\n- Legendary Arena: Unlocks at 3000 Trophies\n- Seasons: Every two weeks, players above 3000 Trophies will be reset to 3000 and all deducted Trophies will be awarded as Legend Trophies!\n\n​TOURNAMENT RULES\n- Tournament Rules: Friendly Battles now use the all-new \qTournament Standard\q level caps for truly fair-play matches! The level caps are: King & Crown Towers 8, Common Cards 8, Rares 6, Epics 3 and overtime lasts for 3 minutes. Have fun organising your own tournaments!\n\n​BALANCE & OTHER CHANGES\n- Battle Cost: We´ve removed the Gold cost for Battles and Friendly Battles\n- Balance: We´ve re-balanced a bunch of cards, visit www.clashroyale.com to find out more\n- Bugs: Stuck Witches, iMessage issues and many more fixes","ARÈNE LÉGENDAIRE ET SAISONS\n- Arène légendaire : accessible avec 3 000 trophées\n- Saisons : toutes les deux semaines, les joueurs ayant plus de 3 000 trophées verront leur nombre de trophées redescendre à 3 000 et tous leurs trophées ainsi prélevés deviendront des trophées légendaires !\n\n​RÈGLEMENT DES TOURNOIS\n- Règlement des tournois : les combats amicaux respectent désormais les toutes nouvelles limites de niveaux des \qnormes des tournois\q, pour des combats vraiment équitables ! Ces limites de niveaux sont les suivantes : 8 pour le roi et les tours couronnées, 8 pour les cartes communes, 6 pour les cartes rares, 3 pour les cartes épiques, avec un temps extra de 3 minutes. Amusez-vous bien en organisant vos propres tournois !\n\n​ÉQUILIBRAGE ET AUTRES CHANGEMENTS\n- Coût des combats : les dépenses d'or pour les combats et combats amicaux, c'est fini !\n- Équilibrage : nous avons rééquilibré certaines cartes. Consultez www.clashroyale.com pour en savoir plus.\n- Résolution de nombreux bugs, y compris ceux liés aux sorcières bloquées et à iMessage.","LEGENDÄRE ARENA UND SAISONS\n- Legendäre Arena: Wird bei 3000 Trophäen freigeschaltet\n- Saisons: Alle zwei Wochen werden Spieler mit über 3000 Trophäen auf 3000 Trophäen zurückgesetzt. Alle abgezogenen Trophäen werden als legendäre Trophäen vergeben!\n\n​TURNIERREGELN\n- Turnierregeln: Für Testspiele gelten jetzt \qTurnierstandards\q mit Levellimits, um für gerechte Voraussetzungen zu sorgen! Es gelten folgende Levellimits: König und Kronentürme - 8, Gewöhnliche Karten - 8, Seltene Karten - 6, Epische Karten - 3. Die Verlängerung dauert 3 Minuten. Viel Spaß beim Organisieren eurer Turniere!\n\n​AUSGEWOGENHEIT UND ANDERE VERÄNDERUNGEN:\n- Kampfkosten: Wir haben die Goldkosten für Kämpfe und Testspiele entfernt.\n- Ausgewogenheit: Wir haben verschiedene Karten neu austariert (weitere Informationen findest du auf www.clashroyale.com).\n- Fehler: Feststeckende Hexen, iMessage-Probleme und vieles mehr wurde behoben.","ARENA LEGENDARIA Y TEMPORADAS\n— Arena Legendaria: Se desbloquea con 3000 trofeos.\n— Temporadas: Cada dos semanas, se reiniciará el número de trofeos a 3000 para aquellos jugadores que tengan más de esa cantidad, y los trofeos que se hayan restado se entregarán en forma de trofeos de leyenda.\n\nREGLAS DEL TORNEO\n— Reglas: Las batallas amistosas se rigen en función de los nuevos límites de nivel del estándar del torneo para que las partidas sean justas. Los límites son los siguientes: nivel 8 para las torres del rey y de coronas, nivel 8 para las cartas comunes, nivel 6 para las cartas especiales, nivel 3 para las cartas épicas y tiempo extra de 3 minutos. ¡Disfruta organizando tus propios torneos!\n\n​AJUSTES DE EQUILIBRIO Y OTROS CAMBIOS\n— Coste de las batallas: Las batallas normales y las amistosas ya no cuestan oro.\n— Equilibrio: Hemos ajustado algunas cartas. Visita www.clashroyale.com para obtener más información.\n— Errores arreglados: Las brujas ya no se quedan atascadas, hemos solucionado problemas con iMessage ¡y más cosas!","ARENA LEGGENDARIA E STAGIONI\n- Arena leggendaria: si sblocca a 3.000 trofei\n- Stagioni: ogni due settimane, i giocatori con più di 3.000 trofei saranno riportati a 3.000 e i trofei sottratti saranno convertiti in trofei leggenda!\n\n​REGOLE DA TORNEO\n- Regole da torneo: ora le battaglia amichevoli usano i nuovi limiti di livello \qstandard da torneo\q per partite all'insegna del fair-play! I limiti di livello sono: re e torri della corona 8, carte comuni 8, rare 6, epiche 3 e i supplementari durano 3 minuti. Divertitevi a organizzare i vostri tornei!\n\n​BILANCIAMENTO E ALTRI CAMBIAMENTI\n- Costo delle battaglie: abbiamo tolto il costo in oro per battaglie e battaglie amichevoli\n- Bilanciamento: abbiamo ribilanciato diverse carte, visita www.clashroyale.com per saperne di più\n- Errori: streghe bloccate, problemi con iMessage e molte altre correzioni","LEGENDARISCHE ARENA & SEIZOENEN\n- Legendarische arena: wordt ontgrendeld bij 3000 trofeeën\n- Seizoenen: elke twee weken worden spelers met meer dan 3000 trofeeën teruggezet naar 3000 en alle afgetrokken trofeeën worden toegekend als legendarische trofeeën!\n\n​TOERNOOIREGELS\n- Toernooiregels: vriendschappelijke gevechten gebruiken nu de volledig nieuwe \qtoernooistandaard\q limieten op levels voor volledig eerlijke gevechten! De limieten voor de levels zijn: koning en kroontorens 8, gewone kaarten 8, zeldzame 6, epische 3 en de extra tijd duurt 3 minuten. Geniet van het organiseren van je eigen toernooien!\n\n​BALANS EN ANDERE WIJZIGINGEN\n- Gevechtskosten: we hebben de goudkosten voor gevechten en vriendschappelijke gevechten verwijderd\n- Balans: we hebben de balans van een heleboel kaarten aangepast, ga naar www.clashroyale.com voor meer informatie\n- Opgeloste problemen: vastgelopen heksen, iMessage-problemen en nog veel meer opgeloste problemen","LEGENDARISK ARENA & SESONGER\n- Legendarisk arena: Låser opp på 3000 trofeer\n- Sesonger: Annenhver uke tilbakestilles spillere med mer enn 3000 trofeer til 3000, og alle fratrukne trofeer gjøres om til legendetrofeer!\n\n​TURNERINGSREGLER\n- Turneringsregler: Vennskapskamper bruker nå den helt nye \qturneringsstandarden\q, med nivågrenser som virkelig gir rettferdige kamper! Nivågrensene er: Konge og kronetårn - 8, vanlige kort - 8, sjeldne - 6, episke - 3, mens overtiden varer i tre minutter. Ha det gøy med å organisere dine egne turneringer!\n\n​BALANSE & ANDRE ENDRINGER\n- Kampkostnad: Vi har fjernet gullkostnaden for kamper og vennskapskamper\n- Balanse: Vi har gjort om balansen for en rekke kort. Besøk www.clashroyale.com for å finne ut mer\n- Feilrettinger: Hekser som sitter fast, iMessage-problemer og mye annet","EFSANEVİ ARENA VE SEZONLAR\n- Efsanevi Arena: Kilidi 3000 Kupada açılır\n- Sezonlar: Kupa sayısı 3000'den fazla olan oyuncuların kupaları iki haftada bir 3000'e sıfırlanır ve tüm kesilen Kupalar Efsane Kupalar olarak verilir!\n\nTURNUVA KURALLARI\n- Turnuva Kuralları: Gerçekten adil oyun maçları için Dostluk Savaşları artık yepyeni \qTurnuva Standardı\q seviye kapasitelerini kullanacak! Seviye kapasiteleri şu şekilde: Kral ve Taç Kuleleri 8, Sıradan Kartlar 8, Enderler 6, Destansılar 3 ve uzatma seviyeleri 3 dakika sürecek. Kendi turnuvalarını organize etme keyfini yaşa!\n\nDENGE VE DİĞER DEĞİŞİKLİKLER\n- Savaş Maliyeti: Savaş ve Dostluk Savaşlarının Altın maliyetini kaldırdık\n- Denge: Bazı kartların dengesini ayarladık, daha fazlasını öğrenmek için www.clashroyale.com adresini ziyaret et\n- Hatalar: Takılan Cadılar, iMessage sorunları ve daha pek çok düzeltme","レジェンドアリーナ＆シーズン\n- レジェンドアリーナ： 3000トロフィーでアンロック\n- シーズン： 3000トロフィー以上を保持しているプレイヤーは2週間おきに3000トロフィーにリセットされ、差し引かれた分のトロフィーを「レジェンドトロフィー」として獲得します！\n\nトーナメントルール\n- トーナメントルール： 真にフェアな戦いを実現するため、フレンドバトルには新しい\qトーナメント基準\qに基づくレベル制限が適用されます！ レベル制限は以下の通りです：キングおよびクラウンタワー=8、ノーマルカード=8、レアカード=6、スーパーレアカード=3、延長タイム3分間。自分ルールのトーナメントをお楽しみください！\n\nバランス調整とその他の変更\n- バトルコスト： バトルやフレンドバトルの際に必要だったゴールド費用を廃止しました\n- バランス調整： 多くのカードでバランス調整を行いました。詳しくは（）をご確認ください\n- 不具合の修正： ネクロマンサーが引っかかる問題、iMessageにまつわる問題など、複数の不具合を修正しました","전설 아레나 & 시즌\n- 전설 아레나: 트로피 3000개에서 해제됩니다.\n- 시즌: 2주에 한 번씩 3000개 이상 트로피를 획득한 플레이어의 트로피 수가 3000개로 리셋되며 남은 트로피는 전설 트로피로 등록됩니다!\n\n토너먼트 규칙\n- 토너먼트 규칙: 친선전에 이제부터 새로운 \q토너먼트 기준\q 레벨 제한이 적용되어 공평한 조건에서 경기를 할 수 있습니다! 레벨 제한은 다음과 같습니다. 킹스 타워 및 크라운 타워 레벨 8, 일반 카드 레벨 8, 희귀 카드 레벨 6,영웅 카드 레벨 3이며 추가 시간은 3분입니다. 자신만의 토너먼트를 만들어 보세요!\n\n밸런스 및 기타 변경점\n- 경기 비용: 일반 전투 및 친선전에 이제 골드를 사용하지 않도록 변경했습니다.\n- 밸런스: 일부 카드의 밸런스를 변경했습니다. www.clashroyale.com을 방문해 자세한 내용을 알아보세요.\n- 버그 수정: 마녀가 걸리는 현상, iMessage버그 및 다양한 버그를 수정했습니다.","ЛЕГЕНДАРНАЯ АРЕНА И СЕЗОНЫ\n- Легендарная арена: открывается на 3 000 трофеев;\n- Сезоны: каждые две недели трофеи игроков, набравших больше 3 000 трофеев, будут сброшены до 3 000. Сброшенные трофеи превратятся в легендарные!\n\n​ПРАВИЛА ТУРНИРА\n- Турнирные поединки теперь проводятся по \qТурнирным стандартам\q, где уровни подгоняются для более честной игры! Уровни следующие: король и королевские башни получают уровень 8, обычные карты — 8, Редкие — 6, Эпические — 3, также дается 3 минуты доп. времени. Организуйте турниры на здоровье!\n\nБАЛАНС И ДРУГИЕ ПЕРЕМЕНЫ\n- Стоимость сражений: мы убрали плату золотом за бои и дружеские поединки;\n- Баланс: мы изменили несколько карт, подробнее можно узнать на www.clashroyale.com;\n- Исправлены ошибки: застрявшие ведьмы, iMessage и многие другие.","الساحة الأسطورية والمواسم\n- الساحة الأسطورية: تُفتح عند 3000 كأس\n- المواسم: كل أسبوعين، ستتم إعادة تعيين اللاعبين أعلى من 3000 كأس إلى 3000 وسيتم منح كل الكؤوس المخصومة ككؤوس أسطورة!\n\nقواعد البطولة\n- قواعد البطولة: المعارك الودية الآن تستخدم مستويات قدرة \qمعيار بطولة\q جديدة تمامًا للوصول إلى مباريات عادلة حقًا! مستويات القدرة هي: الملك وأبراج التاج 8 والبطاقات العادية 8 والنادرة 6 والممتازة 3 ويدوم الوقت الإضافي لمدة 3 دقائق. تمتع بترتيب بطولاتك الخاصة!\n\nالتوازن والتغييرات الأخرى\n- تكلفة المعركة: أزلنا تكلفة الذهب للمعارك والمعارك الودية\n- التوازن: أعدنا موازنة مجموعة من البطاقات، قم بزيارة www.clashroyale.com لاكتشاف المزيد\n- الأعطال: توقف الساحرات، مشاكل iMessage والمزيد من الإصلاحات.","ARENA LENDÁRIA E TEMPORADAS\n- Arena Lendária: Liberada ao alcançar 3000 troféus\n- Temporadas: A cada duas semanas, jogadores com mais de 3000 troféus serão reduzidos a 3000 e todos os troféus subtraídos serão transformados em troféus lendários!\n\nREGRAS DE TORNEIO\n- Regras de Torneio: batalhas amigáveis agora usam as novas limitações do \qpadrão de torneio\q para partidas justas! As limitações são: Rei e Torres da Coroa 8, cartas comuns 8, cartas raras 6, épicas 3 e prorrogação de até 3 minutos. Divirta-se organizando seus próprios torneios!\n\nEQUILÍBRIO E OUTRAS ALTERAÇÕES\n- Custo de batalhas: removemos o custo em ouro para batalhas e batalhas amigáveis\n- Equilíbrio: rebalanceamos várias cartas, visite www.clashroyale.com para descobrir mais\n- Erros: Bruxas travadas, problemas com iMessage e outros consertos","传奇竞技场和赛季\n- 传奇竞技场：在3000杯时解锁\n- 赛季：每隔两周，杯数大于3000的玩家将重置为3000杯，所有的扣除奖杯将以传奇奖杯的形式发放！\n\n​锦标赛规则\n- 锦标赛规则：为保证比赛公平，友谊战将采用全新的\q锦标赛标准\q等级上限：国王防御塔和皇家塔8级，普通卡牌8级，稀有卡牌6级，史诗卡牌3级，加时赛为3分钟。快来组织自己的锦标赛吧！\n\n​平衡性调整和其他改动\n- 战斗花费：我们取消了战斗和友谊战所需的金币花费\n- 平衡性调整：我们对大量卡牌做了平衡性调整，请访问www.clashroyale.com查看更多信息\n- 错误修复：卡女巫错误、iMessage问题和其他错误","傳奇競技場與賽季\n- 傳說鬥技場：將在獲得 3000 個獎盃後開放\n- 賽季：每兩週會將玩家的獎盃重設為 3000。若玩家擁有獎盃數量超過 3000，扣除的獎盃將會轉換為傳說獎盃！\n\n​競賽規則\n- 競賽規則：友誼對戰將改用全新\q對戰標準\q等級，讓比賽更公平！等級上限為：國王與皇家塔為 8 級，普通卡片為 8 級，稀有卡片為 6 級，史詩卡片為 3 級，延長賽時間為 3 分鐘。希望你也能在為競賽準備時獲得樂趣！\n\n​遊戲平衡調整與其他變更\n- 對戰花費：我們取消了對戰與友誼對戰時需花費金幣的規則\n- 平衡調整：我們調整了大量卡片的能力，如需更多細節，請參照 www.clashroyale.com 公布資訊\n- 遊戲錯誤：女巫卡住不動、iMessage 以及其他錯誤修正"
"TID_INFO_ARENA7","Royal Arena","Arène royale","Königliche Arena","Arena real","Royal Arena","Koninklijke arena","Kongearenaen","Kraliyet Arenası","ロイヤルアリーナ","로얄 아레나","Королевская арена","ساحة ملكية","Arena Real","皇家竞技场","皇家競技場"
"TID_ARENA8","Arena 8","Arène 8","Arena 8","Arena 8","Arena 8","Arena 8","Arena 8","8. Arena","アリーナ8","아레나 8","Арена 8","الساحة 8","Arena 8","8阶竞技场","8階競技場"
"TID_INFO_ARENA8","Legendary Arena","Arène légendaire","Legendäre Arena","Arena legendaria","Arena leggendaria","Legendarische arena","Legendarisk arena","Efsanevi Arena","レジェンドアリーナ","전설 아레나","Легендарная арена","ساحة أسطورية","Arena Lendária","传奇竞技场","傳奇競技場"
"TID_MIRRORED_LEGENDARY_LEVEL","Mirrored legendary level","Niveau légendaire reproduit","Spiegelbildlicher legendärer Level","Nivel legendario duplicado","Livello leggendario copiato","Gespiegeld legendarisch level","Speilet legendarisk nivå","Aynalı efsanevi seviye","ウルトラレアカードを複製","복제된 전설 레벨","Зеркало легендарного уровня","ساحة أسطورية منعكسة","Nível lendário espelhado","复制的传奇卡牌等级","複製傳奇等級"
"TID_SPELL_INFO_PRINCESS","Shoots a volley of flaming arrows halfway across the Arena. The Princess is afraid of germs, so keep the rabble away from her!","Décoche une volée de flèches enflammées au beau milieu de l'arène. La princesse a horreur des microbes, alors tenez-la à l'écart de la populace !","Schießt eine Salve flammender Pfeile durch die halbe Arena. Die Prinzessin fürchtet sich vor Bazillen, also halte ihr das Gesindel vom Hals!","La princesa lanza una lluvia de flechas ardientes de un lado a otro de la arena, pero tiene miedo a los gérmenes, ¡así que no dejes que el populacho se le acerque demasiado!","Lancia una raffica di frecce infuocate in mezzo all'arena. La principessa ha paura dei germi, quindi tieni la plebaglia lontana da lei!","Schiet een salvo brandende pijlen over de halve lengte van de arena. De prinses is bang voor bacillen, dus hou het plebs uit haar buurt!","Skyter en salve med brennende piler halvveis over arenaen. Prinsessen er redd for bakterier, så hold pøblene unna henne!","Arenanın ortasından yanan ok yağmuruna tutar. Prenses mikroplardan korktuğu için ayak takımını ondan uzak tutmalısın!","アリーナの反対側まで、火矢の一斉射撃を浴びせます。プリンセスはきれい好きなので、平民やバイ菌どもを近づけてはなりません！","전체 아레나의 절반을 가로지르는 불화살 더미를 발사합니다. 프린세스는 세균을 무서워하므로 폭도들과 접촉하지 않도록 하세요!","Стреляет горящими стрелами через половину арены. Принцесса боится микробов, так что держи этот сброд от нее подальше!","تطلق سهامًا نارية طائرة عبر الساحة. الأميرة تخشى الجراثيم، ولهذا يجب إبقاء الرعاع بعيدًا عنها.","Atira um monte de flechas flamejantes pela arena. A princesa tem fobia de germes, então mantenha a ralé longe dela.","发射一连串可以覆盖竞技场半场的火焰箭。公主非常娇贵，不要让暴民们接近她！","她發射的火焰箭能夠穿越大半個競技場。公主十分嬌貴，可別讓這些下等人接近她！"
"TID_SPELL_ATTRIBUTE_TOWER_DPS","Crown Tower Damage/sec","Dégâts/s Tour couronnée","Kronenturm-Schaden/Sek.","Daño/segundo a torres de coronas","Danno/sec torri della corona","Schade kroontoren/sec","Kronetårnskade per sek.","Taç Kulesi Hasarı/sn","クラウンタワーダメージ／秒","크라운 타워 초당 피해량","Урон королевской башни/сек","ضرر برج التاج/الثانية","Dano à Torre da Coroa/seg","皇家塔每秒伤害","皇家塔每秒傷害"
"TID_HINT_PRINCESS","The Princess can shoot a volley of flaming arrows halfway across the Arena! Her weakness is germophobia.","La princesse peut décocher une volée de flèches enflammées au beau milieu de l'arène. Sa plus grande faiblesse est sa phobie des microbes.","Die Prinzessin kann eine Salve flammender Pfeile durch die halbe Arena schießen. Ihre Schwäche ist eine übersteigerte Angst vor Bazillen.","La princesa lanza una lluvia de flechas ardientes de un lado a otro de la arena, pero tiene germenfobia.","La principessa può lanciare una raffica di frecce infuocate a mezza arena di distanza! La sua debolezza è la germofobia.","De prinses kan een salvo brandende pijlen over de halve lengte van de arena afvuren! Bacillen zijn haar grootste angst.","Prinsessen kan skyte en salve med brennende piler halvveis over arenaen! Svakheten hennes er frykt for bakterier.","Prenses Arenanın ortasından yanan ok yağmuruna tutar! Zayıf yönü mikroplardan korkmasıdır.","プリンセスはアリーナ全体を火矢の一斉射撃で\n攻撃します！ 彼女の弱点は、潔癖症なことです。","프린세스는 아레나의 절반을 가로지르는 불화살들을 발사합니다! 하지만 세균을 무서워하죠.","Принцесса может стрелять горящими стрелами через половину Арены! Ее слабость — боязнь микробов.","تستطيع الأميرة إطلاق أسهم نارية طائرة عبر الساحة! نقطة ضعفها هي الخوف من الجراثيم.","A Princesa atira um monte de flechas flamejantes pela arena. Sua fraqueza é uma fobia de germes.","公主可以发射一连串覆盖竞技场半场的火焰箭！她最大的弱点是有洁癖。","公主可以用火焰箭掃射鬥技場！但是她大的缺點就是有潔癖。"
"TID_X2_ELIXIR","X2 Elixir","Élixir x2","2x-Elixier","Elixir x2","Elisir X2","2 x elixir","2x eliksir","2 Kat İksir","2倍タイム","X2 엘릭서","Х2 эликсира","إكسير X2","Elixir X2","双倍圣水","兩倍聖水"
"TID_60S","+60s","+60s","+60 s","+60 s","+60s","+ 60 sec.","+60 s","+60sn",,"+60초","+60 с.","+60 ثانية","+60s","60","60"
"TID_TIME","Time","extra","Zeit","extra","Tempo","Tijd","Tid","Süre","秒 延長","시간","Время","وقت","Tempo","秒额外时间","秒 額外時間"
"TID_POPUP_ANDROID_EXIT","Are you sure you want to exit Clash Royale?","Voulez-vous vraiment quitter Clash Royale ?","Möchtest du Clash Royale wirklich beenden?","¿Seguro que quieres salir de Clash Royale?","Vuoi davvero uscire da Clash Royale?","Weet je zeker dat je Clash Royale wilt verlaten?","Er du sikker på at du vil avslutte Clash Royale?","Clash Royale'dan çıkmak istediğinden emin misin?","クラッシュ・ロワイヤルを終了してもよろしいですか？","정말로 클래시 로얄을 종료하시겠습니까?","Ты точно хочешь выйти из Clash Royale?","هل تريد بالتأكيد الخروج من Clash Royale؟","Quer mesmo sair do Clash Royale?","您确定要退出部落冲突:皇室战争(Clash Royale)吗？","你確定要離開《部落衝突：皇室戰爭》？"
"TID_POPUP_ANDROID_EXIT_TITLE","Exit Clash Royale?","Quitter Clash Royale ?","Clash Royale beenden?","Salir de Clash Royale","Uscire da Clash Royale?","Clash Royale verlaten?","Avslutte Clash Royale?","Clash Royale'dan çık?","クラッシュ・ロワイヤルの終了","클래시 로얄을 종료합니까?","Выйти из Clash Royale?","الخروج من Clash Royale؟","Sair do Clash Royale","要退出部落冲突:皇室战争(Clash Royale)吗？","確定要離開《部落衝突：皇室戰爭》？"
